vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:31:17.995 [http-nio-8080-exec-1] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" connected to group "1".
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:31:19.407 [http-nio-8080-exec-3] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" disconnected from connection group "1". Duration: 1412 milliseconds
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:31:25.001 [http-nio-8080-exec-1] INFO  o.a.g.r.auth.AuthenticationService - User "student850000000" successfully authenticated from [10.255.0.2, 10.0.19.11].
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:31:25.371 [http-nio-8080-exec-3] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" connected to group "1".
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:31:26.422 [http-nio-8080-exec-4] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" disconnected from connection group "1". Duration: 1051 milliseconds
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:31:29.833 [http-nio-8080-exec-2] INFO  o.a.g.r.auth.AuthenticationService - User "student850000000" successfully authenticated from [10.255.0.2, 10.0.19.11].
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:31:30.118 [http-nio-8080-exec-10] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" connected to group "1".
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:31:30.949 [http-nio-8080-exec-10] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" disconnected from connection group "1". Duration: 830 milliseconds
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:31:36.569 [http-nio-8080-exec-2] INFO  o.a.g.r.auth.AuthenticationService - User "student850000000" successfully authenticated from [10.255.0.2, 10.0.19.11].
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:31:37.007 [http-nio-8080-exec-10] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" connected to group "1".
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:31:37.859 [Thread-334] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" disconnected from connection group "1". Duration: 852 milliseconds
