$ docker service logs vdi_guacamole2
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | Thu Apr 25 06:36:58 UTC 2019 WARN: Establishing SSL connection without server's identity verification is not recommended. According to MySQL 5.5.45+, 5.6.26+ and 5.7.6+ requirements SSL connection must be established by default if explicit option isn't set. For compliance with existing applications not using SSL the verifyServerCertificate property is set to 'false'. You need either to explicitly disable SSL by setting useSSL=false, or set useSSL=true and provide truststore for server certificate verification.
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:36:59.080 [http-nio-8080-exec-2] INFO  o.a.d.a.l.c.o.DefaultLdapCodecService - MSG_06000_REGISTERED_CONTROL_FACTORY (1.3.6.1.4.1.18060.0.0.1)
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:36:59.081 [http-nio-8080-exec-2] INFO  o.a.d.a.l.c.o.DefaultLdapCodecService - MSG_06000_REGISTERED_CONTROL_FACTORY (2.16.840.1.113730.3.4.7)
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:36:59.081 [http-nio-8080-exec-2] INFO  o.a.d.a.l.c.o.DefaultLdapCodecService - MSG_06000_REGISTERED_CONTROL_FACTORY (2.16.840.1.113730.3.4.2)
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:36:59.082 [http-nio-8080-exec-2] INFO  o.a.d.a.l.c.o.DefaultLdapCodecService - MSG_06000_REGISTERED_CONTROL_FACTORY (1.2.840.113556.1.4.319)
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:36:59.083 [http-nio-8080-exec-2] INFO  o.a.d.a.l.c.o.DefaultLdapCodecService - MSG_06000_REGISTERED_CONTROL_FACTORY (2.16.840.1.113730.3.4.3)
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:36:59.083 [http-nio-8080-exec-2] INFO  o.a.d.a.l.c.o.DefaultLdapCodecService - MSG_06000_REGISTERED_CONTROL_FACTORY (2.16.840.1.113730.3.4.18)
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:36:59.084 [http-nio-8080-exec-2] INFO  o.a.d.a.l.c.o.DefaultLdapCodecService - MSG_06000_REGISTERED_CONTROL_FACTORY (1.2.840.113556.1.4.473)
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:36:59.084 [http-nio-8080-exec-2] INFO  o.a.d.a.l.c.o.DefaultLdapCodecService - MSG_06000_REGISTERED_CONTROL_FACTORY (1.2.840.113556.1.4.474)
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:36:59.085 [http-nio-8080-exec-2] INFO  o.a.d.a.l.c.o.DefaultLdapCodecService - MSG_06000_REGISTERED_CONTROL_FACTORY (1.3.6.1.4.1.4203.1.10.1)
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:36:59.086 [http-nio-8080-exec-2] INFO  o.a.d.a.l.c.StockCodecFactoryUtil - MSG_06000_REGISTERED_CONTROL_FACTORY (1.3.6.1.4.1.18060.0.0.1)
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:36:59.086 [http-nio-8080-exec-2] INFO  o.a.d.a.l.c.StockCodecFactoryUtil - MSG_06000_REGISTERED_CONTROL_FACTORY (2.16.840.1.113730.3.4.7)
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:36:59.086 [http-nio-8080-exec-2] INFO  o.a.d.a.l.c.StockCodecFactoryUtil - MSG_06000_REGISTERED_CONTROL_FACTORY (2.16.840.1.113730.3.4.2)
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:36:59.086 [http-nio-8080-exec-2] INFO  o.a.d.a.l.c.StockCodecFactoryUtil - MSG_06000_REGISTERED_CONTROL_FACTORY (1.2.840.113556.1.4.319)
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:36:59.086 [http-nio-8080-exec-2] INFO  o.a.d.a.l.c.StockCodecFactoryUtil - MSG_06000_REGISTERED_CONTROL_FACTORY (2.16.840.1.113730.3.4.3)
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:36:59.086 [http-nio-8080-exec-2] INFO  o.a.d.a.l.c.StockCodecFactoryUtil - MSG_06000_REGISTERED_CONTROL_FACTORY (2.16.840.1.113730.3.4.18)
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:36:59.086 [http-nio-8080-exec-2] INFO  o.a.d.a.l.c.StockCodecFactoryUtil - MSG_06000_REGISTERED_CONTROL_FACTORY (1.2.840.113556.1.4.473)
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:36:59.086 [http-nio-8080-exec-2] INFO  o.a.d.a.l.c.StockCodecFactoryUtil - MSG_06000_REGISTERED_CONTROL_FACTORY (1.2.840.113556.1.4.474)
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:36:59.087 [http-nio-8080-exec-2] INFO  o.a.d.a.l.c.StockCodecFactoryUtil - MSG_06000_REGISTERED_CONTROL_FACTORY (1.3.6.1.4.1.4203.1.10.1)
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:36:59.088 [http-nio-8080-exec-2] INFO  o.a.d.a.l.e.ExtrasCodecFactoryUtil - MSG_06000_REGISTERED_CONTROL_FACTORY (1.2.840.113556.1.4.841)
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:36:59.089 [http-nio-8080-exec-2] INFO  o.a.d.a.l.e.ExtrasCodecFactoryUtil - MSG_06000_REGISTERED_CONTROL_FACTORY (1.2.840.113556.1.4.841)
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:36:59.089 [http-nio-8080-exec-2] INFO  o.a.d.a.l.e.ExtrasCodecFactoryUtil - MSG_06000_REGISTERED_CONTROL_FACTORY (1.2.840.113556.1.4.2239)
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:36:59.090 [http-nio-8080-exec-2] INFO  o.a.d.a.l.e.ExtrasCodecFactoryUtil - MSG_06000_REGISTERED_CONTROL_FACTORY (1.2.840.113556.1.4.417)
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:36:59.091 [http-nio-8080-exec-2] INFO  o.a.d.a.l.e.ExtrasCodecFactoryUtil - MSG_06000_REGISTERED_CONTROL_FACTORY (1.2.840.113556.1.4.528)
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:36:59.091 [http-nio-8080-exec-2] INFO  o.a.d.a.l.e.ExtrasCodecFactoryUtil - MSG_06000_REGISTERED_CONTROL_FACTORY (1.3.6.1.4.1.42.2.27.8.5.1)
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:36:59.092 [http-nio-8080-exec-2] INFO  o.a.d.a.l.e.ExtrasCodecFactoryUtil - MSG_06000_REGISTERED_CONTROL_FACTORY (1.3.6.1.4.1.42.2.27.8.5.1)
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:36:59.093 [http-nio-8080-exec-2] INFO  o.a.d.a.l.e.ExtrasCodecFactoryUtil - MSG_06000_REGISTERED_CONTROL_FACTORY (1.2.840.113556.1.4.1413)
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:36:59.093 [http-nio-8080-exec-2] INFO  o.a.d.a.l.e.ExtrasCodecFactoryUtil - MSG_06000_REGISTERED_CONTROL_FACTORY (1.3.6.1.4.1.4203.1.9.1.3)
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:36:59.094 [http-nio-8080-exec-2] INFO  o.a.d.a.l.e.ExtrasCodecFactoryUtil - MSG_06000_REGISTERED_CONTROL_FACTORY (1.3.6.1.4.1.4203.1.9.1.1)
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:36:59.095 [http-nio-8080-exec-2] INFO  o.a.d.a.l.e.ExtrasCodecFactoryUtil - MSG_06000_REGISTERED_CONTROL_FACTORY (1.3.6.1.4.1.4203.1.9.1.2)
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:36:59.095 [http-nio-8080-exec-2] INFO  o.a.d.a.l.e.ExtrasCodecFactoryUtil - MSG_06000_REGISTERED_CONTROL_FACTORY (1.3.6.1.1.21.2)
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:36:59.096 [http-nio-8080-exec-2] INFO  o.a.d.a.l.e.ExtrasCodecFactoryUtil - MSG_06000_REGISTERED_CONTROL_FACTORY (2.16.840.1.113730.3.4.9)
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:36:59.097 [http-nio-8080-exec-2] INFO  o.a.d.a.l.e.ExtrasCodecFactoryUtil - MSG_06000_REGISTERED_CONTROL_FACTORY (2.16.840.1.113730.3.4.10)
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:36:59.098 [http-nio-8080-exec-2] INFO  o.a.d.a.l.e.ExtrasCodecFactoryUtil - MSG_06001_REGISTERED_EXTENDED_OP_FACTORY (1.3.6.1.1.8)
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:36:59.099 [http-nio-8080-exec-2] INFO  o.a.d.a.l.e.ExtrasCodecFactoryUtil - MSG_06001_REGISTERED_EXTENDED_OP_FACTORY (1.3.6.1.4.1.18060.0.1.8)
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:36:59.100 [http-nio-8080-exec-2] INFO  o.a.d.a.l.e.ExtrasCodecFactoryUtil - MSG_06001_REGISTERED_EXTENDED_OP_FACTORY (1.3.6.1.1.21.3)
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:36:59.101 [http-nio-8080-exec-2] INFO  o.a.d.a.l.e.ExtrasCodecFactoryUtil - MSG_06001_REGISTERED_EXTENDED_OP_FACTORY (1.3.6.1.4.1.18060.0.1.5)
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:36:59.102 [http-nio-8080-exec-2] INFO  o.a.d.a.l.e.ExtrasCodecFactoryUtil - MSG_06001_REGISTERED_EXTENDED_OP_FACTORY (1.3.6.1.4.1.18060.0.1.3)
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:36:59.103 [http-nio-8080-exec-2] INFO  o.a.d.a.l.e.ExtrasCodecFactoryUtil - MSG_06001_REGISTERED_EXTENDED_OP_FACTORY (1.3.6.1.4.1.1466.20036)
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:36:59.104 [http-nio-8080-exec-2] INFO  o.a.d.a.l.e.ExtrasCodecFactoryUtil - MSG_06001_REGISTERED_EXTENDED_OP_FACTORY (1.3.6.1.4.1.4203.1.11.1)
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:36:59.105 [http-nio-8080-exec-2] INFO  o.a.d.a.l.e.ExtrasCodecFactoryUtil - MSG_06001_REGISTERED_EXTENDED_OP_FACTORY (1.3.6.1.4.1.1466.20037)
